06-03-22;16:19:54;V;;; 20.1;994.60;46.940430; 70;72;
06-03-22;16:20:04;V;;; 20.3;994.68;46.736328; 69;71;
06-03-22;16:20:14;V;;; 20.2;994.62;47.021484; 72;74;
06-03-22;16:20:24;V;;; 20.2;994.66;46.298828; 72;74;
06-03-22;16:20:34;V;;; 20.2;994.61;46.448242; 68;70;
06-03-22;16:20:44;V;;; 20.2;994.62;46.701172; 70;72;
06-03-22;16:20:54;V;;; 20.1;994.60;46.459961; 68;70;
06-03-22;16:21:04;V;;; 20.2;994.62;46.506836; 67;69;
06-03-22;16:21:14;V;;; 20.2;994.61;46.505859; 71;73;
06-03-22;16:21:24;V;;; 20.1;994.59;46.230469; 72;74;
06-03-22;16:21:34;V;;; 20.0;994.61;46.515625; 70;72;
06-03-22;16:21:44;V;;; 20.1;994.62;46.379883; 68;70;
06-03-22;16:21:54;V;;; 20.2;994.69;46.654297; 69;71;
06-03-22;16:22:04;V;;; 20.1;994.57;45.714844; 69;71;
06-03-22;16:22:14;V;;; 20.1;994.62;46.150391; 69;71;
06-03-22;16:22:24;V;;; 20.0;994.66;46.309570; 68;70;
06-03-22;16:22:34;V;;; 19.99;994.65;46.250977; 70;72;
06-03-22;16:22:44;V;;; 19.99;994.65;46.628906; 70;72;
06-03-22;16:22:54;V;;; 20.0;994.58;46.297852; 69;71;
06-03-22;16:23:04;V;;; 20.0;994.60;46.388672; 68;70;
06-03-22;16:23:14;V;;; 20.0;994.66;46.686523; 66;68;
06-03-22;16:23:24;V;;; 19.99;994.59;46.411133; 68;70;
06-03-22;16:23:34;V;;; 20.1;994.65;46.390625; 69;71;
06-03-22;16:23:44;V;;; 20.0;994.61;46.378906; 71;73;
06-03-22;16:23:54;V;;; 19.99;994.59;47.177734; 69;71;
06-03-22;16:24:04;V;;; 19.99;994.61;45.815430; 69;71;
06-03-22;16:24:14;V;;; 20.0;994.66;46.034180; 68;70;
